work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,weekly_hours,age,gender,birthday,sun_sign,moon_sign,ascendant_sign,sign_type,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto
2023,EN,FT,Applied Scientist,110680,USD,110680,US,0,US,L,35.98521991318155,20,Male,2003-07-05 08:17:31,Cancer,Virgo,Gemini,Water,1,3,1,,,,,,,
2023,SE,FT,Data Engineer,270703,USD,270703,US,0,US,M,34.43751283657197,38,Male,1985-09-20 07:49:03,Virgo,Sagittarius,Leo,Earth,1,3,1,,,,,,,
2023,SE,FT,Data Engineer,221484,USD,221484,US,0,US,M,38.66007660970506,38,Male,1985-12-14 14:19:33,Sagittarius,Capricorn,Capricorn,Fire,10,,,,,,,,,
2023,SE,FT,Data Scientist,212750,USD,212750,US,100,US,M,36.53076152448766,43,Male,1980-01-27 20:16:31,Aquarius,Gemini,Cancer,Air,7,,,,,,,,,
2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M,37.051151301242925,46,Male,1977-05-15 23:07:00,Taurus,Taurus,Scorpio,Earth,6,5,5,,,,,,,
2023,SE,FT,Data Scientist,262000,USD,262000,US,100,US,M,30.610149653718686,44,Male,1979-08-04 12:14:10,Leo,Sagittarius,Virgo,Fire,,,,,,,,,,
2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,M,36.29443990193691,37,Male,1986-10-01 05:52:20,Libra,Virgo,Leo,Air,2,1,3,3,5,7,4,4,4,3
2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M,36.47861017915512,44,Male,1979-04-16 23:12:53,Aries,Sagittarius,Libra,Fire,6,2,,,,,,,,
2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,M,38.32590815996425,42,Male,1981-01-05 00:57:31,Capricorn,Sagittarius,Leo,Earth,4,4,4,4,5,1,1,3,4,2
2023,SE,FT,Data Scientist,218500,USD,218500,US,100,US,M,33.03286706155339,37,Male,1986-03-15 09:22:02,Pisces,Taurus,Aquarius,Water,,,,,,,,,,
2023,SE,FT,Data Scientist,199098,USD,199098,US,100,US,M,36.40567959746936,35,Male,1988-07-14 07:17:24,Cancer,Cancer,Gemini,Water,1,1,,,,,,,,
2023,SE,FT,Data Engineer,203300,USD,203300,US,100,US,M,39.410209775462555,32,Male,1991-11-03 09:57:21,Scorpio,Libra,Libra,Water,,,,,,,,,,
2023,SE,FT,Data Engineer,123600,USD,123600,US,100,US,M,35.43397468755321,45,Male,1978-05-15 22:01:12,Taurus,Virgo,Libra,Earth,6,9,6,7,9,8,9,,,
2023,SE,FT,Research Engineer,189110,USD,189110,US,0,US,M,40.47722436532436,44,Male,1979-09-07 22:18:52,Virgo,Aries,Aquarius,Earth,6,,,,,,,,,
2023,SE,FT,Research Engineer,139000,USD,139000,US,0,US,M,40.526859506307694,38,Male,1985-12-14 10:48:51,Sagittarius,Capricorn,Sagittarius,Fire,,,,,,,,,,
2023,EX,FT,Data Scientist,258750,USD,258750,US,0,US,M,39.716342485215506,49,Male,1974-12-09 21:50:57,Sagittarius,Scorpio,Gemini,Fire,5,4,5,6,5,9,1,4,5,4
2023,EX,FT,Data Scientist,185000,USD,185000,US,0,US,M,36.00993984437588,63,Male,1960-12-24 02:11:03,Capricorn,Pisces,Leo,Earth,4,6,3,5,10,4,4,,,
2023,SE,FT,Data Engineer,231500,USD,231500,US,100,US,M,42.14803310947508,35,Male,1988-09-25 11:10:35,Libra,Pisces,Libra,Air,,,,,,,,,,
2023,SE,FT,Data Engineer,166000,USD,166000,US,100,US,M,36.55248021315284,45,Male,1978-08-24 23:07:19,Virgo,Taurus,Aquarius,Earth,6,2,6,7,7,5,6,8,9,7
2023,SE,FT,Data Scientist,172500,USD,172500,US,100,US,M,35.52633011371099,43,Male,1980-10-16 19:58:19,Libra,Capricorn,Aquarius,Air,7,10,8,6,8,6,6,8,9,7
2023,SE,FT,Data Scientist,110500,USD,110500,US,100,US,M,37.971574800085044,44,Male,1979-06-18 10:49:43,Gemini,Aries,Cancer,Air,,,,,,,,,,
2023,SE,FT,Data Engineer,238000,USD,238000,US,0,US,M,33.0495941937184,42,Male,1981-11-27 03:21:50,Sagittarius,Sagittarius,Leo,Fire,3,3,3,5,1,2,2,3,4,2
2023,SE,FT,Data Engineer,176000,USD,176000,US,0,US,M,38.8641255277468,42,Male,1981-03-11 15:31:06,Pisces,Gemini,Gemini,Water,9,,,,,,,,,
2023,SE,FT,Data Engineer,237000,USD,237000,US,100,US,M,35.70886847102705,36,Male,1987-10-26 15:59:26,Scorpio,Sagittarius,Sagittarius,Water,9,,,,,,,,,
2023,SE,FT,Data Engineer,201450,USD,201450,US,100,US,M,36.27977088474195,47,Male,1976-12-21 03:01:57,Sagittarius,Sagittarius,Virgo,Fire,3,3,4,5,3,8,,,,
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,36.03244038576803,34,Male,1989-08-14 00:40:52,Leo,Capricorn,Pisces,Fire,5,10,6,6,6,3,9,9,10,7
2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,38.95070493673884,47,Male,1976-09-21 14:53:01,Virgo,Leo,Scorpio,Earth,10,9,10,,,,,,,
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,37.647484628539985,42,Male,1981-07-22 05:34:24,Cancer,Aries,Taurus,Water,2,,,,,,,,,
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,38.79356647180063,39,Male,1984-06-23 11:01:06,Cancer,Aries,Cancer,Water,,,,,,,,,,
2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M,36.92219906380484,41,Male,1982-12-20 06:10:58,Sagittarius,Aquarius,Libra,Fire,2,4,3,2,3,1,,,,
2023,SE,FT,Data Scientist,201450,USD,201450,US,100,US,M,33.62038418055274,43,Male,1980-09-25 14:21:23,Libra,Aries,Scorpio,Air,10,,,,,,,,,
2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,M,37.05004078570265,42,Male,1981-01-20 04:19:37,Aquarius,Cancer,Libra,Air,3,9,3,2,3,,,,,
2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,M,41.10552224565808,42,Male,1981-10-27 14:10:36,Scorpio,Scorpio,Sagittarius,Water,10,10,9,,,,,,,
2023,SE,FT,Data Architect,280100,USD,280100,US,100,US,M,37.1318509784423,42,Male,1981-10-08 18:57:10,Libra,Aquarius,Capricorn,Air,7,,,,,,,,,
2023,SE,FT,Data Architect,168100,USD,168100,US,100,US,M,34.526656268194955,44,Male,1979-03-27 11:41:41,Aries,Pisces,Aries,Fire,,,,,,,,,,
2023,SE,FT,Data Engineer,193500,USD,193500,US,100,US,M,40.36210365049542,32,Male,1991-11-28 02:42:42,Sagittarius,Leo,Leo,Fire,3,,,,,,,,,
2023,SE,FT,Data Engineer,139000,USD,139000,US,100,US,M,34.89249476433998,34,Male,1989-03-24 03:02:05,Aries,Libra,Scorpio,Fire,4,10,,,,,,,,
2023,MI,FT,Data Scientist,510000,HKD,65062,HK,0,HK,L,37.3687004256013,30,Female,1993-05-04 22:42:15,Taurus,Libra,Taurus,Earth,,,,,,,,,,
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,M,34.57579190168687,35,Male,1988-06-09 18:03:16,Gemini,Aries,Scorpio,Air,6,4,6,6,,,,,,
2023,MI,FT,Applied Machine Learning Engineer,65000,EUR,69751,IN,100,DE,S,40.830807646555456,32,Female,1991-11-25 00:24:22,Sagittarius,Cancer,Scorpio,Fire,,,,,,,,,,
2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,L,34.90656714949791,23,Male,1999-08-25 18:33:56,Virgo,Aquarius,Gemini,Earth,3,8,2,2,5,,,,,
2023,MI,FT,Machine Learning Engineer,90000,EUR,96578,NL,100,NL,L,46.04119585000046,38,Male,1985-12-24 03:06:25,Capricorn,Taurus,Scorpio,Earth,1,6,1,1,,,,,,
2023,SE,FT,Business Intelligence Engineer,185900,USD,185900,US,0,US,M,38.913247939042,39,Male,1984-01-06 06:42:28,Capricorn,Aquarius,Scorpio,Earth,2,3,2,1,,,,,,
2023,SE,FT,Business Intelligence Engineer,129300,USD,129300,US,0,US,M,38.53545273898188,42,Male,1981-07-10 08:13:36,Cancer,Scorpio,Gemini,Water,1,4,,,,,,,,
2023,SE,FT,Data Engineer,225000,USD,225000,US,100,US,M,33.12959941532902,42,Male,1981-06-24 12:42:59,Cancer,Pisces,Leo,Water,10,7,10,,,,,,,
2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M,35.21551180845591,38,Male,1985-03-20 09:14:35,Pisces,Pisces,Aquarius,Water,,,,,,,,,,
2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,34.67043143782612,41,Male,1982-06-19 11:50:59,Gemini,Taurus,Cancer,Air,,,,,,,,,,
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,33.286111276794344,38,Male,1985-08-21 19:13:46,Leo,Scorpio,Sagittarius,Fire,8,10,7,7,7,1,10,,,
2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,39.19117671999757,43,Female,1980-07-02 04:54:05,Cancer,Aquarius,Cancer,Water,,,,,,,,,,
2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,42.998424549366185,39,Male,1984-04-18 22:18:53,Aries,Sagittarius,Sagittarius,Fire,4,,,,,,,,,
2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M,27.518633180794726,42,Male,1981-01-22 03:24:16,Aquarius,Leo,Libra,Air,3,10,4,3,4,,,,,
2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,M,39.60335416692405,45,Female,1978-07-25 10:20:37,Leo,Aries,Leo,Fire,,,,,,,,,,
2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,0,US,M,35.811731650958066,21,Male,2002-12-26 10:05:45,Capricorn,Virgo,Sagittarius,Earth,,,,,,,,,,
2023,EN,FT,Machine Learning Engineer,145885,USD,145885,US,0,US,M,37.60524774314937,23,Male,2000-07-23 00:07:06,Leo,Aries,Capricorn,Fire,6,,,,,,,,,
2023,SE,FT,Data Engineer,217000,USD,217000,US,100,US,M,41.12668938674125,38,Male,1985-07-13 13:27:45,Cancer,Taurus,Virgo,Water,10,9,,,,,,,,
2023,SE,FT,Data Engineer,185000,USD,185000,US,100,US,M,34.33607109226355,36,Male,1987-09-03 00:55:55,Virgo,Capricorn,Aries,Earth,5,8,5,5,5,,,,,
2023,SE,FT,Data Analyst,202800,USD,202800,US,0,US,L,36.65691710380529,33,Male,1990-09-02 03:01:20,Virgo,Aquarius,Taurus,Earth,4,8,4,3,,,,,,
2023,SE,FT,Data Analyst,104300,USD,104300,US,0,US,L,37.51163942107843,39,Male,1984-03-08 19:08:50,Pisces,Taurus,Leo,Water,,,,,,,,,,
2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M,33.84248070948321,37,Male,1986-03-09 21:46:26,Pisces,Pisces,Virgo,Water,6,6,,,,,,,,
2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M,37.50161493248742,42,Female,1981-04-19 19:45:17,Aries,Scorpio,Virgo,Fire,7,1,7,7,7,,,,,
2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,36.2818287086816,41,Male,1982-11-13 10:18:47,Scorpio,Libra,Scorpio,Water,,,,,,,,,,
2023,SE,FT,Data Engineer,132300,USD,132300,US,0,US,M,35.23234681435361,34,Male,1989-07-25 01:23:13,Leo,Aries,Aquarius,Fire,5,1,5,6,6,3,10,10,10,7
2023,SE,FT,Data Engineer,179170,USD,179170,US,0,US,M,37.989901507064054,36,Male,1987-06-17 22:58:09,Gemini,Pisces,Sagittarius,Air,6,2,7,6,7,4,,,,
2023,SE,FT,Data Engineer,94300,USD,94300,US,0,US,M,37.623194806615714,37,Male,1986-09-11 01:40:45,Virgo,Sagittarius,Taurus,Earth,4,7,4,5,8,10,6,7,7,5
2023,SE,FT,Analytics Engineer,152500,USD,152500,US,0,US,M,35.97288882278005,47,Male,1976-04-10 00:00:17,Aries,Leo,Libra,Fire,5,9,6,5,8,6,8,,,
2023,SE,FT,Analytics Engineer,116450,USD,116450,US,0,US,M,36.157394653209664,37,Male,1986-10-08 13:53:15,Libra,Sagittarius,Scorpio,Air,10,1,,,,,,,,
2023,SE,FT,Data Engineer,247300,USD,247300,US,0,US,M,36.01519133464398,43,Male,1980-01-11 07:04:56,Capricorn,Libra,Scorpio,Earth,2,,,,,,,,,
2023,SE,FT,Data Engineer,133800,USD,133800,US,0,US,M,36.54723869151191,43,Male,1980-08-05 13:03:13,Leo,Gemini,Virgo,Fire,10,8,10,9,1,,,,,
2023,SE,FT,Research Engineer,203000,USD,203000,US,0,US,M,39.113826868527305,32,Male,1991-07-19 18:23:53,Cancer,Scorpio,Scorpio,Water,8,,,,,,,,,
2023,SE,FT,Research Engineer,133000,USD,133000,US,0,US,M,37.35409324018123,40,Male,1983-02-27 22:28:28,Pisces,Virgo,Virgo,Water,6,,,,,,,,,
2023,EN,FT,Research Scientist,220000,USD,220000,US,50,US,L,32.96874883821125,17,Male,2006-11-09 02:47:09,Scorpio,Cancer,Cancer,Water,3,,,,,,,,,
2022,EN,FT,Machine Learning Engineer,54000,CHF,56536,CH,100,CH,S,36.46583973694939,17,Female,2005-07-08 11:47:30,Cancer,Leo,Libra,Water,8,9,9,9,6,,,,,
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,35.61587757842771,50,Male,1973-07-17 18:22:39,Cancer,Aquarius,Scorpio,Water,8,3,8,9,5,2,7,,,
2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M,33.74124028087009,45,Male,1978-08-24 00:40:59,Virgo,Taurus,Pisces,Earth,5,1,5,6,6,4,5,7,8,6
2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,35.392591122958784,37,Male,1986-04-08 00:22:33,Aries,Aries,Libra,Fire,5,,,,,,,,,
2023,SE,FT,Analytics Engineer,214000,USD,214000,US,0,US,M,39.86238846481413,41,Male,1982-06-06 06:53:38,Gemini,Sagittarius,Aries,Air,1,7,1,,,,,,,
2023,SE,FT,Analytics Engineer,179820,USD,179820,US,0,US,M,42.430781228609455,42,Male,1981-07-21 18:25:48,Cancer,Pisces,Scorpio,Water,8,,,,,,,,,
2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M,33.63126013680918,44,Male,1979-06-07 18:31:07,Gemini,Scorpio,Libra,Air,8,1,8,7,7,9,10,1,2,
2023,SE,FT,Machine Learning Engineer,283200,USD,283200,US,100,US,M,37.82976533682639,37,Male,1986-05-24 10:52:01,Gemini,Sagittarius,Gemini,Air,,,,,,,,,,
2023,SE,FT,Machine Learning Engineer,188800,USD,188800,US,100,US,M,28.033703546768383,47,Male,1976-11-01 13:44:01,Scorpio,Pisces,Sagittarius,Water,10,2,10,,,,,,,
2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,34.70491101948392,42,Male,1981-09-05 11:58:36,Virgo,Sagittarius,Virgo,Earth,,,,,,,,,,
2023,SE,FT,Analytics Engineer,214200,USD,214200,US,0,US,M,32.42153769913153,32,Male,1991-05-01 12:53:11,Taurus,Sagittarius,Gemini,Earth,10,5,10,,,,,,,
2023,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M,41.01536952278261,37,Male,1986-01-28 10:32:48,Aquarius,Virgo,Capricorn,Air,,,,,,,,,,
2023,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M,37.89213863261682,49,Male,1974-02-01 14:58:12,Aquarius,Taurus,Aries,Air,10,1,10,9,,,,,,
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M,38.877828760889734,34,Male,1989-09-09 09:02:33,Virgo,Sagittarius,Leo,Earth,,,,,,,,,,
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M,34.605737685098944,31,Male,1992-02-05 16:48:45,Aquarius,Pisces,Taurus,Air,9,,,,,,,,,
2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M,38.75634161293483,42,Male,1981-02-03 03:09:59,Aquarius,Capricorn,Libra,Air,3,3,4,3,4,,,,,
2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M,35.445696271266705,25,Male,1998-07-18 02:02:29,Cancer,Taurus,Aquarius,Water,5,1,5,3,4,,,,,
2023,SE,FT,Data Engineer,161800,USD,161800,US,100,US,M,36.621261699351834,42,Male,1981-02-05 16:44:56,Aquarius,Aquarius,Taurus,Air,9,9,9,8,9,4,4,6,7,5
2023,SE,FT,Data Engineer,141600,USD,141600,US,100,US,M,35.515582501458844,40,Male,1983-04-11 10:15:19,Aries,Pisces,Aries,Fire,,,,,,,,,,
2023,SE,FT,Machine Learning Engineer,342300,USD,342300,US,0,US,L,36.15330299348789,45,Male,1978-12-02 08:52:05,Sagittarius,Capricorn,Libra,Fire,1,2,1,,,,,,,
2023,SE,FT,Machine Learning Engineer,176100,USD,176100,US,0,US,L,33.18322805655414,45,Male,1978-07-19 01:50:06,Cancer,Capricorn,Aquarius,Water,5,10,5,6,6,4,6,7,9,7
2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,28.4332054077495,28,Female,1995-06-24 23:23:53,Cancer,Taurus,Sagittarius,Water,6,5,5,5,8,,,,,
2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,41.14915815193002,29,Female,1994-08-17 13:27:39,Leo,Capricorn,Libra,Fire,10,3,10,,,,,,,
2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,41.78262778559092,20,Male,2003-05-07 19:28:44,Taurus,Cancer,Virgo,Earth,7,10,7,7,4,10,9,5,4,2
2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,35.092875108369796,19,Female,2004-07-25 04:58:33,Leo,Scorpio,Taurus,Fire,3,5,4,1,3,4,2,,,
2023,SE,FT,Data Scientist,138784,USD,138784,US,100,US,M,32.14910653317932,36,Male,1987-02-16 18:32:31,Aquarius,Libra,Cancer,Air,8,3,8,6,10,,,,,
2023,SE,FT,Data Scientist,83270,USD,83270,US,100,US,M,33.67915330902196,48,Male,1975-09-06 11:16:27,Virgo,Virgo,Virgo,Earth,,,,,,,,,,
2023,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M,37.450452523554034,22,Female,2001-10-18 10:12:42,Libra,Scorpio,Libra,Air,,,,,,,,,,
2023,EN,FT,Data Analyst,70000,USD,70000,US,0,US,M,35.32162805113693,27,Male,1996-07-20 20:49:53,Cancer,Virgo,Sagittarius,Water,7,9,7,6,6,1,,,,
2023,SE,FT,Data Analyst,204500,USD,204500,US,0,US,M,38.91729830977879,33,Male,1990-08-07 20:20:48,Leo,Pisces,Sagittarius,Fire,7,,,,,,,,,
2023,SE,FT,Data Analyst,138900,USD,138900,US,0,US,M,36.98886645628202,32,Male,1991-07-13 15:03:43,Cancer,Leo,Virgo,Water,9,10,10,,,,,,,
2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,M,35.0772902991782,38,Male,1985-12-24 08:15:14,Capricorn,Taurus,Scorpio,Earth,1,6,1,1,,,,,,
2023,SE,FT,Machine Learning Engineer,212200,USD,212200,US,100,US,M,40.43366063878637,43,Male,1980-03-04 21:23:12,Pisces,Libra,Leo,Water,6,2,6,8,,,,,,
